x,y
56.83755999999995,60.63246999999999
56.83767000000248,60.63347999999308
56.843739999993645,60.63118000001181
56.84396999999905,60.63109000000194
56.84412999998995,60.63248000000412
56.857399999994136,60.65374999999789
56.86295999999902,60.65316000000121
56.86291999999989,60.65380000000004
56.86365999999999,60.65396999999995
56.863600000000005,60.65493999999999
56.798289999999966,60.63241999999997
56.799100000002554,60.63115999999497
56.79962000000149,60.63367999999921
56.80130000000196,60.63254000000192
56.80214000000281,60.63678999999831
56.78287999999916,60.69653999999992
56.78239000000028,60.69673000000129
56.78205000000113,60.68235000000103
56.86124,60.61086999999999
56.86130000000002,60.61151999999997
56.860980000000126,60.61165999999982
56.860860000000486,60.61201000000003
56.86065000000006,60.6119299999997
56.86043000000013,60.61139000000002
56.86001000000026,60.611489999999606
56.86002999999984,60.612829999998496
56.861030000000014,60.61488999999781
56.86359000000071,60.6215200000005
56.857699999999056,60.63036999999922
56.85691999999936,60.6287799999992
56.85706000000061,60.62851000000083
56.857330000000125,60.62809000000012
56.795682105263126,60.61236999999992
56.79556999999999,60.61237
56.79559,60.61250999999999
56.79568999999999,60.61250999999999
56.79589999999806,60.61237000000044
56.79592999999703,60.61427999999999
56.79772999999548,60.6140599999966
56.76120999999891,60.77283000000122
56.79821999999996,60.79196
56.75026000000002,60.97162000000002
56.74688,60.97139000000001
56.73674,60.97140000000001
56.90014000000003,60.62413000000002
56.89912999999983,60.62149999999987
56.9008600000009,60.61963999999958
56.900770000001195,60.61426999999695
56.906450000000014,60.61358000000005
56.90618999999907,60.60743000000004
56.910219999999995,60.59572000000002
56.82135999999995,60.635720000000134
56.82092000000009,60.63582999999989
56.821259999997736,60.63944999999911
56.8261400000127,60.637910000019566
56.82276000000823,60.65520999999729
56.830290000000836,60.66552999999858
56.83041000000002,60.663810000000005
56.83053999999999,60.66376
56.803130000000145,60.60632000000027
56.80215999999965,60.60666999999989
56.802720000001884,60.61202000000042
56.80301000000223,60.61499000000111
56.80865999999873,60.61312999999871
56.808870000002976,60.613040000000936
56.809869999997765,60.62299000000297
56.81679999998663,60.6205600000063
56.817260000003394,60.62575000000586
56.81822999998503,60.63991000001769
56.81797999999983,60.6515300000004
56.818569999999724,60.65165999999979
56.820060000000005,60.650550000000194
56.820210000000685,60.65117000000029
56.82056999999995,60.651129999999206
56.822330000000264,60.65115999999988
56.826709999996226,60.54402000000106
56.82671999999846,60.54376999999982
56.825949999998734,60.543630000000114
56.8258799999993,60.54550999999843
56.825490000003136,60.554729999991665
56.82508999999855,60.57261999999628
56.83112999998781,60.60426000001345
56.83444000000539,60.60317000000937
56.834870000006056,60.60694999999084
56.83775000000338,60.60586000000202
56.83783999999567,60.605910000002574
